loan_id,customer_id,customer_name,gender,country,state,age,income,employment_type,credit_score,loan_amount,interest_rate,loan_term,loan_type,loan_status,origination_date,employment_type_duplicate
L000001,C000001,Joshua Johnson,Male,USA,Kansas,27,91324.0,Salaried,766.0,62970,6.95,180,Personal,Current,2020-01-26,Salaried
L000002,C000002,Jessica Taylor,Female,USA,Utah,67,124855.0,Government,550.0,326435,7.34,180,Personal,Current,2018-03-14,Government
L000003,C000003,Michelle Moore,Female,USA,Wyoming,27,146158.0,Salaried,746.0,412884,15.99,240,Student,Current,2025-11-02,Salaried
L000004,C000004,Michelle Rodriguez,Female,USA,Louisiana,53,163669.0,Salaried,547.0,392359,15.26,360,Auto,Current,2021-12-19,Salaried
L000005,C000005,Robert Williams,Male,USA,Alabama,61,90697.0,Salaried,833.0,277303,6.08,72,Mortgage,Current,2022-03-23,Salaried
L000006,C000006,John Smith,Male,USA,utah,53,31302.0,Salaried,631.0,47386,5.2,360,Home Equity,Current,2026-07-01,Salaried
L000007,C000007,Anthony Martin,Male,USA,Wisconsin,49,107790.0,Unemployed,635.0,228262,4.53,60,Personal,Current,2019-02-04,Unemployed
L000008,C000008,Betty Perez,Female,USA,Florida,64,37484.0,Salaried,506.0,176726,4.01,240,Mortgage,Current,2020-10-02,Salaried
L000009,C000009,Sandra Thomas,Female,USA,Nevada,59,148957.0,Self-Employed,618.0,98115,17.77,240,Auto,Paid Off,2026-02-21,Self-Employed
L000010,C000010,Patricia Davis,Female,USA,Georgia,61,88627.0,Unemployed,787.0,340403,15.17,360,Personal,Current,2025-08-24,Unemployed
L000011,C000011,Steven Lee,Male,USA,Wyoming,52,164428.0,Salaried,841.0,212254,3.25,120,Mortgage,Current,2019-06-16,Salaried
L000012,C000012,Barbara Garcia,Female,USA,North Dakota,57,47451.0,Salaried,777.0,18799,3.1,72,Student,Current,2022-10-06,Salaried
L000013,C000013,Patricia Smith,Female,USA,South Carolina,64,33074.0,Salaried,717.0,117666,13.35,120,Home Equity,Foreclosed,2022-06-02,Salaried
L000014,C000014,Donald Davis,Male,USA,South Dakota,49,81642.0,Unemployed,614.0,382333,7.67,12,Personal,Default,2026-07-03,Unemployed
L000015,C000015,Christopher Moore,Male,USA,Massachusetts,42,148452.0,Part-Time,663.0,17928,4.48,48,Mortgage,Paid Off,2023-02-13,Part-Time
L000016,C000016,Matthew Johnson,Male,USA,Kansas,22,150709.0,Salaried,784.0,178205,9.96,240,Personal,Paid Off,2018-07-02,Salaried
L000017,C000017,Anthony Miller,Male,USA,Louisiana,70,57654.0,Salaried,722.0,88847,3.28,60,Auto,Current,2025-08-19,Salaried
L000018,C000018,Sarah Davis,Female,USA,Tennessee,29,44189.0,Part-Time,585.0,178380,9.37,48,Home Equity,Current,2020-07-02,Part-Time
L000019,C000019,Paul Rodriguez,Male,USA,Georgia,49,85107.0,Self-Employed,688.0,445599,6.56,72,Mortgage,Paid Off,2026-05-02,Self-Employed
L000020,C000020,Michael Rodriguez,Male,USA,Mississippi,53,86020.0,Self-Employed,552.0,90627,6.97,84,Personal,Paid Off,2023-01-31,Self-Employed
L000021,C000021,Linda Anderson,Female,USA,Louisiana,30,32560.0,Self-Employed,827.0,8360,7.29,360,Personal,Default,2020-08-16,Self-Employed
L000022,C000022,Michael Thompson,Male,USA,Vermont,48,54652.0,Government,840.0,50631,7.62,360,Personal,Paid Off,2023-01-17,Government
L000023,C000023,Anthony Davis,Male,USA,Rhode Island,66,82266.0,Unemployed,514.0,471638,3.3,120,Mortgage,Paid Off,2026-02-26,Unemployed
L000024,C000024,Matthew Garcia,Male,USA,Maryland,66,156108.0,Part-Time,626.0,155331,11.55,120,Auto,Current,2023-09-27,Part-Time
L000025,C000025,William Anderson,Male,USA,Montana,59,93318.0,Unemployed,675.0,137649,11.22,60,Personal,Current,2020-01-10,Unemployed
L000026,C000026,Betty Thompson,Female,USA,Wyoming,32,150392.0,Part-Time,617.0,246460,12.76,120,Student,Default,2024-06-02,Part-Time
L000027,C000027,Anthony Lee,Male,USA,Washington,42,96548.0,Salaried,681.0,260948,5.4,36,Auto,Paid Off,2020-10-31,Salaried
L000028,C000028,Joshua Brown,Male,USA,South Dakota,26,132589.0,Salaried,567.0,42065,17.92,36,Personal,Foreclosed,2024-07-17,Salaried
L000029,C000029,Emily Davis,Female,USA,Virginia,65,143280.0,Part-Time,824.0,306627,5.04,12,Personal,Current,2020-07-17,Part-Time
L000030,C000030,Mark Miller,Male,USA,Tennessee,60,163397.0,Salaried,691.0,303345,15.17,240,Mortgage,Delinquent,2024-01-24,Salaried
L000031,C000031,Ashley Thompson,Female,USA,South Carolina,43,86109.0,Government,693.0,430869,6.31,12,Mortgage,Delinquent,2019-07-15,Government
L000032,C000032,Joseph Jackson,Male,USA,Hawaii,54,121837.0,Part-Time,677.0,364730,9.59,12,Home Equity,Current,2026-05-26,Part-Time
L000033,C000033,Donald Williams,Male,USA,Texas,62,127942.0,Salaried,546.0,233338,7.86,240,Personal,Current,2023-07-06,Salaried
L000034,C000034,Kimberly Rodriguez,Female,USA,Hawaii,58,179810.0,Salaried,641.0,105728,7.62,360,Student,Current,2022-12-19,Salaried
L000035,C000035,Jennifer Thompson,Female,USA,South Carolina,36,85845.0,Salaried,508.0,322504,10.3,36,Student,Paid Off,2021-05-19,Salaried
L000036,C000036,Susan Lee,Female,USA,Illinois,30,106955.0,Salaried,511.0,496418,6.59,120,Mortgage,Current,2026-06-30,Salaried
L000037,C000037,Daniel Perez,Male,USA,Mississippi,67,114314.0,Government,591.0,349597,11.2,180,Mortgage,Current,2018-03-24,Government
L000038,C000038,Donald Martin,Male,USA,Michigan,41,132825.0,Salaried,512.0,215393,6.76,36,Auto,Delinquent,2025-03-05,Salaried
L000039,C000039,Michelle Moore,Female,USA,Oregon,30,177497.0,Unemployed,776.0,405831,17.59,120,Mortgage,Current,2026-02-20,Unemployed
L000040,C000040,James Johnson,Male,USA,Maine,31,124845.0,Salaried,537.0,467206,6.59,360,Home Equity,Current,2019-10-31,Salaried
L000041,C000041,Joseph Johnson,Male,USA,New York,41,179304.0,Government,807.0,157599,14.47,240,Mortgage,Paid Off,2025-12-24,Government
L000042,C000042,Andrew Rodriguez,Male,USA,New York,45,99727.0,Salaried,781.0,82341,10.05,12,Student,Current,2025-10-15,Salaried
L000043,C000043,Thomas Taylor,Male,USA,Georgia,54,86582.0,Self-Employed,777.0,66479,3.57,36,Auto,Foreclosed,2026-03-11,Self-Employed
L000044,C000044,Barbara Moore,Female,USA,Pennsylvania,51,174096.0,Salaried,743.0,81880,5.29,12,Mortgage,Current,2026-07-03,Salaried
L000045,C000045,Andrew Moore,Male,USA,Louisiana,47,86045.0,Salaried,743.0,232222,16.93,240,Personal,Current,2022-06-05,Salaried
L000046,C000046,Emily Davis,Female,USA,Oregon,45,174671.0,Self-Employed,827.0,265745,15.3,180,Personal,Current,2020-05-14,Self-Employed
L000047,C000047,Christopher Garcia,Male,USA,North Dakota,62,118999.0,Unemployed,536.0,172712,5.16,36,Home Equity,Current,2019-08-14,Unemployed
L000048,C000048,Barbara Garcia,Female,USA,Wyoming,52,51755.0,Salaried,731.0,133583,3.77,240,Auto,Current,2020-10-05,Salaried
L000049,C000049,Patricia Perez,Female,USA,Hawaii,64,166524.0,Salaried,672.0,454284,5.29,240,Student,Default,2023-07-27,Salaried
L000050,C000050,Donald Davis,Male,USA,Wisconsin,31,103129.0,Government,750.0,235881,11.76,60,Auto,Current,2020-12-08,Government
L000051,C000051,Karen Anderson,Female,USA,Oregon,67,128815.0,Part-Time,619.0,474234,12.5,360,Home Equity,Default,2023-11-11,Part-Time
L000052,C000052,Kimberly Davis,Female,USA,Ohio,46,116044.0,Salaried,841.0,413218,8.68,240,Mortgage,Current,2024-08-24,Salaried
L000053,C000053,Jessica Davis,Female,USA,South Carolina,56,107539.0,Salaried,832.0,473285,7.21,240,Home Equity,Current,2024-02-18,Salaried
L000054,C000054,Linda Williams,Female,USA,Wisconsin,57,132941.0,Salaried,513.0,137830,6.1,84,Personal,Current,2022-11-05,Salaried
L000055,C000055,Donna Moore,Female,USA,Vermont,53,157602.0,Salaried,773.0,432928,9.58,180,Personal,Current,2026-08-15,Salaried
L000056,C000056,Linda Rodriguez,Female,USA,Mississippi,53,142603.0,Salaried,634.0,354633,3.34,84,Auto,Paid Off,2023-06-22,Salaried
L000057,C000057,Matthew Lee,Male,USA,Connecticut,62,42215.0,Salaried,687.0,22939,3.13,12,Personal,Paid Off,2024-11-22,Salaried
L000058,C000058,Donald Smith,Male,USA,Rhode Island,56,59859.0,Salaried,554.0,459774,14.97,84,Student,Current,2023-03-11,Salaried
L000059,C000059,Michael Lee,Male,USA,Illinois,33,90585.0,Salaried,789.0,53938,10.96,84,Auto,Current,2022-06-23,Salaried
L000060,C000060,Joseph Thompson,Male,USA,Oregon,34,100655.0,Salaried,626.0,203210,14.72,24,Mortgage,Paid Off,2021-12-27,Salaried
L000061,C000061,Donald Martinez,Male,USA,Virginia,57,148019.0,Salaried,800.0,129601,4.71,84,Home Equity,Delinquent,2020-05-21,Salaried
L000062,C000062,Joshua Perez,Male,USA,Indiana,63,65076.0,Salaried,758.0,286081,15.23,24,Personal,Current,2023-06-24,Salaried
L000063,C000063,Donna Lee,Female,USA,Nebraska,60,152698.0,Salaried,831.0,380015,16.84,12,Auto,Current,2018-09-16,Salaried
